subject_q,url,url_underscore,qualifier_property,qualifier_value,qualifier_value_p31,qualifier_value_p31_label
Q114439798,https://sketchfab.com/3d-models/kennys-well-indoors-low-poly-685c7b9d3b0e4ba09e222633342cfcc3,https:__sketchfab.com_3d-models_kennys-well-indoors-low-poly-685c7b9d3b0e4ba09e222633342cfcc3,copyright license,Creative Commons Attribution,Q30939938,open license
Q114439798,https://sketchfab.com/3d-models/kennys-well-indoors-low-poly-685c7b9d3b0e4ba09e222633342cfcc3,https:__sketchfab.com_3d-models_kennys-well-indoors-low-poly-685c7b9d3b0e4ba09e222633342cfcc3,copyright license,Creative Commons Attribution,Q196294,free license
Q114439798,https://sketchfab.com/3d-models/kennys-well-indoors-low-poly-685c7b9d3b0e4ba09e222633342cfcc3,https:__sketchfab.com_3d-models_kennys-well-indoors-low-poly-685c7b9d3b0e4ba09e222633342cfcc3,copyright license,Creative Commons Attribution,Q284742,Creative Commons license
