subject_q,subject,object_q,object,instance_of_q,instance_of
Q126456441,Columbkille's Well,Q180231,County Kilkenny,Q179872,county of Ireland
Q126456441,Columbkille's Well,Q60554507,Inistioge,Q3910694,civil parish in Ireland
Q126456441,Columbkille's Well,Q104266220,Inistioge,Q2151232,townland
