subject,predicate,object
http://www.wikidata.org/entity/Q126445800,http://www.wikidata.org/prop/direct/P131,http://www.wikidata.org/entity/Q60553644
http://www.wikidata.org/entity/Q126445800,http://www.wikidata.org/prop/direct/P138,http://www.wikidata.org/entity/Q1277655
http://www.wikidata.org/entity/Q126445800,http://www.wikidata.org/prop/direct/P195,http://www.wikidata.org/entity/Q126875543
http://www.wikidata.org/entity/Q126445800,http://www.wikidata.org/prop/direct/P195,http://www.wikidata.org/entity/Q132817615
http://www.wikidata.org/entity/Q126445800,http://www.wikidata.org/prop/direct/P217,29
http://www.wikidata.org/entity/Q126445800,http://www.wikidata.org/prop/direct/P217,KHW093
http://www.wikidata.org/entity/Q126445800,http://www.wikidata.org/prop/direct/P625,Point(-7.2930503 52.5844902)
http://www.wikidata.org/entity/Q126445800,http://www.wikidata.org/prop/direct/P708,http://www.wikidata.org/entity/Q873607
http://www.wikidata.org/entity/Q126445800,http://www.wikidata.org/prop/direct/P841,http://www.wikidata.org/entity/Q2286
http://www.wikidata.org/entity/Q33123146,http://www.wikidata.org/prop/direct/P17,http://www.wikidata.org/entity/Q27
http://www.wikidata.org/entity/Q33123146,http://www.wikidata.org/prop/direct/P18,http://commons.wikimedia.org/wiki/Special:FilePath/Swords%20well.jpg
http://www.wikidata.org/entity/Q33123146,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q1371047
http://www.wikidata.org/entity/Q33123146,http://www.wikidata.org/prop/direct/P131,http://www.wikidata.org/entity/Q173500
http://www.wikidata.org/entity/Q33123146,http://www.wikidata.org/prop/direct/P373,"St. Colmcille's Well, Swords"
http://www.wikidata.org/entity/Q33123146,http://www.wikidata.org/prop/direct/P625,Point(-6.222702 53.455943)
http://www.wikidata.org/entity/Q33123146,http://www.wikidata.org/prop/direct/P2186,IE-D-0048
http://www.wikidata.org/entity/Q33123146,http://www.wikidata.org/prop/direct/P4057,DU011-034013
