subject_q,street_address,stated_in_q,stated_in_label,stated_in_instance_q,stated_in_instance_label
Q126454471,"""near Killinny on the land once owned by Colonel Mullins""",Q128308754,"Tullamaine, Newtown & Mallardstown History & Heritage",Q193495,monograph
Q126454471,"""about half a mile east of the Church [in Newtown], near Major Butler's House"" (OS Letter)",Q126474972,Letters containing information relative to the antiquities of the county of Kilkenny collected during the progress of the Ordnance Survey in 1839,Q47461344,written work
