subject_q,subject,object_q,object,instance_of_q,instance_of
Q126456441,Columbkille's Well,Q873607,Roman Catholic Diocese of Ossory,Q373074,suffragan diocese
Q126456441,Columbkille's Well,Q873607,Roman Catholic Diocese of Ossory,Q3146899,diocese of the Catholic Church
