subject_q,subject,object_q,object,instance_of_q,instance_of
Q131625906,St Lowry's Well,Q192208,County Londonderry,Q1317848,county of Northern Ireland
Q131625906,St Lowry's Well,Q192208,County Londonderry,Q67376938,historic county of the United Kingdom
