subject_q,illustrator_q,illustrator_label,illustrator_instance_q,illustrator_instance_label,stated_in_q,stated_in_label,stated_in_instance_q,stated_in_instance_of_label
Q122222699,Q130265942,The Kilkenny Field Name Recording Project,Q16334295,group of humans,Q130265908,"Alan Counihan/ Dearbhala Ledwidge: Meitheal na bPáirceanna - The Kilkenny Field Name Recording Project, 2016",Q193495,monograph
Q122222699,Q130265942,The Kilkenny Field Name Recording Project,Q170584,project,Q130265908,"Alan Counihan/ Dearbhala Ledwidge: Meitheal na bPáirceanna - The Kilkenny Field Name Recording Project, 2016",Q193495,monograph
