subject_q,subject,object_q,object,instance_of_q,instance_of
Q126456441,Columbkille's Well,Q27,Ireland,Q6256,country
Q126456441,Columbkille's Well,Q27,Ireland,Q112099,island country
Q126456441,Columbkille's Well,Q27,Ireland,Q3624078,sovereign state
Q126456441,Columbkille's Well,Q27,Ireland,Q127693126,successor state
