Q-code,Label
Q126458702,St. Nicholas's Well (Killamery)
Q126459109,Tobernagloghlin
Q126459695,Tobermurry
Q126460137,St. Cuan's Well
Q126460326,Toberenan
Q126461036,St. James's Well
Q126472816,St. Berchan's Well
Q126472909,Trinity Well
Q126472933,St. James's Well
Q126472950,Well of the Tree
Q126472968,Toberacluggeen
Q126472997,Tobernakill
Q126473028,Tobernakill
Q126473043,Tobernadaun
Q126473056,"Rev. J. Holahan: Notes on the antiquities of the united parishes of Ballycallan, Kilmanagh & Killaloe"
Q126473089,Transactions of the Ossory Archaeological Society
Q126473306,Aughkiletaun Holy Well
Q126473440,Q126473440
Q126473935,Toberboy
Q126474220,Tobernadean
Q126474430,Cody's Well
Q126474583,St. Catherine's Well
Q126474774,St John's Well
Q126474972,Letters containing information relative to the antiquities of the county of Kilkenny collected during the progress of the Ordnance Survey in 1839
Q126475983,Spa Well
Q126476470,Tobermurry
Q126476487,St Rioch's Well
Q126476500,St. Brendan's Well
Q126476510,Mary's Well
Q126476522,St. Martin's Well
Q126476536,St. Francis's Well
Q126478162,St. Fintan's Well
Q126478185,Hermit's Well
Q126478219,Lady's Well
Q126478257,St. Faghtna's Well
Q126478330,Tobar Neaska
Q126478389,Lady's Well
Q126478427,Tubbrid Holy Well
Q126478438,Toberpatrick
Q126478455,Felix's Well
Q126478471,St. David's Well
Q126478483,Tobernamonine
Q126478503,St. Mocuille's Well
Q126478549,Well of the Virgin
Q126478564,Tobernaraha
Q126485841,Knockroe holy well
Q126485854,St. Bridget’s Well
Q126485868,Maon's Well
Q126485951,St. Margaret's Well
Q126485966,Q126485966
Q126485974,Q126485974
Q126486012,St. Nicholas's Well
Q126486052,Thibberawling
Q126486113,Tobernaskeagh
Q126486229,Wart Well
Q126486274,John's Well
Q126486300,St Thomas' Well
Q126486539,St Rosentha's well
Q126486548,Glory
Q126486675,Holy Cross Well
Q126487120,St Coleman's Well
Q126487167,Saint Molagga's Well
Q126487303,Saint Andrew's Well
Q126487358,St Brigid's Well
Q126487395,Saint Brigid's Well
Q126487405,Saint Patrick's Well
Q126487430,Saint Moling’s Well
Q126489046,Saint Moling's Well
Q126489560,St. Kieran's Well
Q126490531,Q126490531
Q126491081,Well of the Rags
